门店名称,区,详细地址,经度,纬度
乐刻运动健身(古北家乐福店),长宁区,水城南路268号(古北家乐福1楼17B),121.393436,31.196622
乐刻运动健身(天山汇金-PLUS馆),长宁区,天山路900号汇金百货3楼,121.404999,31.211372
乐刻运动健身(法华镇路店),长宁区,法华镇路455号2楼,121.426491,31.204772
乐刻运动健身(长宁Art park大融城店精品馆),长宁区,淞虹路377号长宁Art Park大融城B1层,121.359483,31.217770
乐刻健身(上海七宝宝龙城西区店),闵行区,漕宝路3299弄20号七宝宝龙城4层,121.354589,31.158059
乐刻健身(上海七宝领展广场店),闵行区,漕宝路3366弄七宝领展广场5层电影院对面,121.350925,31.154225
乐刻健身(上海浦江欢乐颂店),闵行区,陈行公路2688号5层东边直梯电梯旁,121.504573,31.094819
乐刻健身(上海颛桥万达广场店),闵行区,颛兴东路1570号万达广场上海颛桥店2层,121.405865,31.070963
乐刻健身(中庚漫游城店),闵行区,万源南路99弄漫游城内地上2号楼3层-314-315室,121.397899,31.131768
乐刻健身(绚荟城北建华清商业广场店),闵行区,莲花南路1388弄7号绚荟城(北建华清商业广场店)2层,121.410641,31.100751
乐刻健身(莘庄凯德龙之梦店),闵行区,沪闵路6088号凯德龙之梦4层(淘小馆旁),121.379093,31.107757
乐刻健身(龙湖虹桥天街购物中心B馆),闵行区,申长路869号龙湖虹桥天街购物中心B馆L3层B-L3-04号,121.313826,31.191052
乐刻运动(浦江大橘邻里店),闵行区,浦江镇江月路1800号3楼乐刻健身,121.506569,31.083362
乐刻运动·健身(航北路晋豪生活广场店),闵行区,航北路651号晋豪生活广场3楼乐刻健身,121.349283,31.170623
乐刻运动健身(万金中心店),闵行区,新龙路360弄10号万金中心t1s-109,121.354877,31.161294
乐刻运动健身(中庚漫游城店),闵行区,梅陇镇闵虹路8号中庚漫游城商业街2楼L263,121.397557,31.133686
乐刻运动健身(临港浦江智慧广场店),闵行区,浦江镇陈行公路2168号1幢102F2-10室,121.511023,31.098463
乐刻运动健身(利邻荟合川店),闵行区,虹桥镇合川路2900号利邻荟D座201-A室,121.382402,31.172419
乐刻运动健身(外环路店),闵行区,龙茗路75号2层,121.390615,31.122622
